iter	Passed	Remaining
834	2500	784
835	2503	781
836	2506	778
837	2509	775
838	2512	772
839	2515	769
840	2517	766
841	2521	763
842	2523	760
843	2526	757
844	2529	754
845	2532	751
846	2535	748
847	2538	745
848	2541	742
849	2544	739
850	2547	736
851	2549	733
852	2552	730
853	2555	727
854	2558	724
855	2561	721
856	2564	718
857	2575	717
858	2587	716
859	2590	713
860	2594	711
861	2597	708
862	2600	705
863	2603	702
864	2607	699
865	2610	696
866	2613	693
867	2615	690
868	2618	687
869	2621	683
870	2624	680
871	2627	677
872	2629	674
873	2633	671
874	2636	668
875	2639	665
876	2642	662
877	2645	659
878	2648	656
879	2651	653
880	2654	650
881	2657	647
882	2659	644
883	2662	641
884	2665	638
885	2668	635
886	2671	632
887	2675	629
888	2677	626
889	2681	623
890	2683	620
891	2686	617
892	2690	614
893	2693	611
894	2696	608
895	2699	605
896	2702	602
897	2705	599
898	2708	596
899	2711	593
900	2714	590
901	2716	587
902	2719	584
903	2722	581
904	2725	578
905	2728	575
906	2731	572
907	2734	569
908	2737	566
909	2740	563
910	2743	560
911	2745	557
912	2748	553
913	2751	550
914	2754	547
915	2757	544
916	2760	541
917	2763	538
918	2766	535
919	2769	532
920	2771	529
921	2774	526
922	2777	523
923	2780	520
924	2783	517
925	2786	514
926	2789	511
927	2792	508
928	2795	505
929	2798	502
930	2801	499
931	2804	496
932	2807	493
933	2810	490
934	2813	487
935	2815	484
936	2818	481
937	2821	478
938	2824	475
939	2827	472
940	2830	469
941	2833	466
942	2836	463
943	2839	460
944	2842	457
945	2845	454
946	2848	451
947	2851	448
948	2854	445
949	2857	442
950	2860	439
951	2863	436
952	2867	433
953	2870	430
954	2873	427
955	2876	424
956	2879	421
957	2881	418
958	2885	415
959	2888	412
960	2891	409
961	2894	406
962	2897	403
963	2900	400
964	2903	397
965	2906	394
966	2909	391
967	2912	388
968	2915	385
969	2917	382
970	2920	379
971	2923	375
972	2926	372
973	2929	369
974	2933	367
975	2935	363
976	2938	360
977	2941	357
978	2944	354
979	2947	351
980	2950	348
981	2953	345
982	2956	342
983	2959	339
984	2962	336
985	2965	333
986	2968	330
987	2972	327
988	2975	324
989	2978	321
990	2981	318
991	2984	315
992	2987	312
993	2990	309
994	2993	306
995	2996	303
996	2999	300
997	3002	297
998	3006	294
999	3008	291
1000	3011	288
1001	3014	285
1002	3017	282
1003	3020	279
1004	3023	276
1005	3026	273
1006	3029	270
1007	3032	267
1008	3034	264
1009	3037	261
1010	3040	258
1011	3043	255
1012	3046	252
1013	3049	249
1014	3052	246
1015	3054	243
1016	3057	240
1017	3060	237
1018	3064	234
1019	3067	231
1020	3069	228
1021	3072	225
1022	3075	222
1023	3078	219
1024	3081	216
1025	3084	213
1026	3086	210
1027	3089	207
1028	3093	204
1029	3095	201
1030	3098	198
1031	3101	195
1032	3104	192
1033	3107	189
1034	3110	186
1035	3113	183
1036	3116	180
1037	3119	177
1038	3122	174
1039	3124	171
1040	3127	168
1041	3130	165
1042	3133	162
1043	3135	159
1044	3138	156
1045	3141	153
1046	3144	150
1047	3147	147
1048	3150	144
1049	3153	141
1050	3156	138
1051	3159	135
1052	3162	132
1053	3165	129
1054	3168	126
1055	3171	123
1056	3175	120
1057	3177	117
1058	3180	114
1059	3183	111
1060	3186	108
1061	3189	105
1062	3192	102
1063	3196	99
1064	3199	96
1065	3201	93
1066	3204	90
1067	3207	87
1068	3210	84
1069	3213	81
1070	3216	78
1071	3219	75
1072	3222	72
1073	3225	69
1074	3228	66
1075	3231	63
1076	3234	60
1077	3237	57
1078	3240	54
1079	3243	51
1080	3246	48
1081	3249	45
1082	3252	42
1083	3255	39
1084	3258	36
1085	3261	33
1086	3264	30
1087	3267	27
1088	3270	24
1089	3273	21
1090	3276	18
1091	3279	15
1092	3282	12
1093	3285	9
1094	3288	6
1095	3290	3
1096	3293	0
